url,action,replacement,page,note
http://www.av8n.com/physics/phase-space-thin-lens.htm,replace,https://web.archive.org/web/20161020123649/http://www.av8n.com/physics/phase-space-thin-lens.htm,,
http://www.bartleby.com/73/1211.html,keep,,,
http://www.cep.ucsb.edu/papers/pfc92.pdf,replace,https://web.archive.org/web/20161227201657/http://www.cep.ucsb.edu/papers/pfc92.pdf,,
http://www.danielgilbert.com/Gilbert%20et%20al%20EVERYTHING%20YOU%20READ.pdf,unlink,,,link text is prose; keep the words
http://www.economist.com/blogs/freeexchange/2007/04/the_future_of_fantasy,keep,,,
http://www.expatsingapore.com/forum/index.php?topic=16763.msg126809,replace,https://web.archive.org/web/20161019130402/http://www.expatsingapore.com/forum/index.php?topic=16763.msg126809,,
http://www.godlessgeeks.com/LINKS/Dragon.htm,replace,https://web.archive.org/web/20230706051641/http://www.godlessgeeks.com/LINKS/Dragon.htm,,
http://www.hpmor.com/,keep,,,
http://www.imagination-engines.com/ie.htm,replace,https://web.archive.org/web/20200701174028/http://imagination-engines.com/ie.htm,,
http://www.indiana.edu/~kruschke/articles/Kruschke2010TiCS.pdf,replace,https://web.archive.org/web/20160309221752/http://www.indiana.edu/~kruschke/articles/Kruschke2010TiCS.pdf,,
http://www.jetpress.org/volume9/risks.html,keep,,,
http://www.jstor.org/stable/2183914,keep,,,
http://www.jstor.org/stable/27828530,keep,,,
http://www.jstor.org/stable/3151931,keep,,,
http://www.math.utah.edu/~pa/math/polya.html,replace,https://web.archive.org/web/20200208060114/http://www.math.utah.edu/~pa/math/polya.html,,
http://www.mathpages.com/rr/rrtoc.htm,keep,,,
http://www.nizkor.org/features/fallacies/appeal-to-consequences.html,replace,https://web.archive.org/web/20190825131529/http://www.nizkor.org/features/fallacies/appeal-to-consequences.html,,
http://www.nizkor.org/features/fallacies/genetic-fallacy.html,replace,https://web.archive.org/web/20190824043422/http://www.nizkor.org/features/fallacies/genetic-fallacy.html,,
http://www.overcomingbias.com/2007/07/tell-your-anti-.html,replace,https://web.archive.org/web/20160604041901/http://www.overcomingbias.com/2007/07/tell-your-anti-.html,,
http://www.overcomingbias.com/2007/09/false-findings-.html,replace,https://web.archive.org/web/20161019130949/http://www.overcomingbias.com/2007/09/false-findings-.html,,
http://www.overcomingbias.com/2009/02/against-propaganda-.html,replace,https://web.archive.org/web/20160101022751/http://www.overcomingbias.com/2009/02/against-propaganda-.html,,
http://www.pnas.org/content/73/12/4604.full.pdf,keep,,,
http://www.prem-rawat-talk.org/forum/uploads/CultCharacteristics.htm,replace,https://web.archive.org/web/20180114195109/http://www.prem-rawat-talk.org/forum/uploads/CultCharacteristics.htm,,
http://www.radford.edu/~jaspelme/443/spring-2007/Articles/Jones_n_Harris_1967.pdf,remove,,,
http://www.reuters.com/article/us-crash-idUSTRE52N63B20090325,keep,,,
http://www.robertboynton.com/articleDisplay.php?article_id=1535,replace,https://web.archive.org/web/20161104023405/http://www.robertboynton.com/articleDisplay.php?article_id=1535,,
http://www.samharris.org/blog/item/sam-harris-vs.-andrew-sullivan,replace,https://web.archive.org/web/20160117134439/http://www.samharris.org/blog/item/sam-harris-vs.-andrew-sullivan,,
http://www.scottaaronson.com/blog/?p=326,keep,,,
http://www.scottaaronson.com/blog/?p=87#comment-2092,keep,,,
http://www.siggraph.org/publications/newsletter/issues/v35/v35n1.pdf,replace,https://web.archive.org/web/20161024182004/http://www.siggraph.org/publications/newsletter/issues/v35/v35n1.pdf,,
http://www.spaceandgames.com/?p=27,replace,https://web.archive.org/web/20160320002155/http://www.spaceandgames.com/?p=27,,
http://www.textbookleague.org/103feyn.htm,replace,https://web.archive.org/web/20160304021338/http://www.textbookleague.org/103feyn.htm,,
http://www.theregister.co.uk/2007/12/04/wikipedia_secret_mailing/,keep,,,
http://www.theregister.co.uk/2007/12/06/wikipedia_and_overstock/,keep,,,
http://www.tiem.utk.edu/~gavrila/583/583.html,replace,https://web.archive.org/web/20160723143715/http://www.tiem.utk.edu/%7Egavrila/583/583.html,,
http://www.worldchanging.com/archives/008009.html,replace,https://web.archive.org/web/20160128191525/http://www.worldchanging.com/archives/008009.html,,
http://www.yudkowsky.net,keep,,,
http://www2.psych.ubc.ca/~schaller/Psyc590Readings/,replace,https://web.archive.org/web/20180430192513/http://www2.psych.ubc.ca/~schaller/Psyc590Readings/,,
http://yosemite.epa.gov/ee/epa/eerm.nsf/,remove,,,
http://yosemite.epa.gov/ee/epa/eerm.nsf/vwAN/EE-0280B-04.pdf/$file/EE-0280B-04.pdf,replace,https://web.archive.org/web/20170224022120/https://yosemite.epa.gov/ee/epa/eerm.nsf/vwAN/EE-0280B-04.pdf/$file/EE-0280B-04.pdf,,
http://yudkowsky.net/other/fiction,keep,,,
http://yudkowsky.net/other/fiction/npc,keep,,,
http://yudkowsky.net/other/yehuda/,keep,,,
http://yudkowsky.net/rational/bayes,keep,,,
http://yudkowsky.net/singularity/aibox,keep,,,
http://yudkowsky.net/singularity/aibox/,keep,,,
